id,triggerDesc,actionDesc,deviceCategory,original_content_after_dot
xm83WEbN,WHEN you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
xnyStbu3,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
xr5D7Bu3,WHEN the remaining life of any of your Filtrete Smart Air Filter drops below your chosen percentage,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
xrBJ8QhL,WHEN every time your IFTTT Tag on MESH app receives an input signal from the other Tag,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
xzYu3v6X,WHEN every time the home you specify is set to Home,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
y3JMDFuf,WHEN motion is detected on the selected camera,", THEN turns on the selected group of wemo lights",Light,If the group is already on it will remain on.
y3YQNUzC,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
y59Q2gvT,WHEN every time the home you specify is set to Home,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
yC4g6UaL,WHEN every time you enter an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
yJYXu3xq,"WHEN every time you check in on Foursquare or Swarm
with a single hashtag in the shout (e",", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
yLMV6Ahg,WHEN every time you press the button,", THEN set the current room temperature to a level of your choice",Thermostat/Heating,This temperature level can be adjusted manually or if Clock Mode is activated.
yMgtE7Nb,WHEN every time your ecobee thermostat senses that the indoor humidity is greater than a specific value you supply,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
yNnwaqtQ,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
yVy6QNPj,WHEN your Arlo device detects motion,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
yWeuYJ9k,WHEN every time you enter an area you specify,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
yYkVxeUL,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
yZXptYMQ,WHEN every time you enter an area you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
ycVHb28K,WHEN every single day at a specific time set by you,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
ypQVqfaz,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
yrStJMR3,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
yv5GHYa9,WHEN every time you press the button,", THEN enable/disable holiday mode on all your daikin ac units",Air/Climate,It will be executed within 1 minute.
ywRGjhBF,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
yyHtEuAU,WHEN every time the Nest Protect you specify detects warning carbon monoxide levels,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
yzJ4Sune,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
yzeJ6Sxi,WHEN every time the temperature drops below a threshold you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
z34YPBdx,WHEN every time the Nest Protect you specify detects warning carbon monoxide levels,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
z3gm4vDj,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
z6RLwvPX,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
zHXuAkyg,WHEN every time the you ask Alexa what's on your To Do List,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
zHkFE6pB,WHEN every time you press the button,", THEN enable/disable econo mode on your daikin ac unit",Air/Climate,"It will be executed within 1 minute and will only work in combination with the new R32 outdoor (RXM or MXM) units. If your unit does not support this function, then it will not show up in the device dropdown list."
zJbLntEq,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
zLc8qBZC,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
zNZ4hdxg,WHEN within 15 minutes of the sunset in your location,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
zNhaecH9,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect for the specified number of hours.
zPSEw6zV,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
zQUezgHX,WHEN you tap a gesture with a custom IFTTT task matching the ID of this trigger,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
zQfRsG5r,WHEN ever time the gust speed rises above a value you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
zSecRBa3,WHEN every time you delete an item on your To Do List,", THEN unpause your thermosmart, i",Generic/Other,e. set it to either a scheduled program or an exception if there is one for the current time.
zTGJewKz,WHEN every time your WeMo Light Switch is turned on,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
zUY7Sqwd,WHEN a sensor has been activated,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
zX8dhGVU,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
zZeTrjF6,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
zbFTaVsK,WHEN every time your WeMo Insight Switch enters standby mode,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
zbPeUTrX,WHEN every time you enter an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
zckZKh2X,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
zf2pQhJB,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set the current room temperature to a level of your choice",Thermostat/Heating,This temperature level can be adjusted manually or if Clock Mode is activated.
zgkqTJX8,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
zipxzUY6,WHEN every time your Fitbit logs new sleep,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
zjrkCen8,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
zjzaYsqA,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
zkcgtbrJ,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
